source_id,source_name,university_name,list_url,base_url,org_unit_id,university_slug,notes,initial_status,initial_error_bucket,initial_observed_count,initial_matched_count,initial_new_count,cohort
ou_1690_univ_001,가천대학교 장학공지,가천대학교,https://www.gachon.ac.kr/kor/1146/subview.do,https://www.gachon.ac.kr,1690,ou_1690,confidence=high | 장학공지 게시판,empty_observed,empty_observed,0,0,0,error_90
ou_1700_univ_001,가톨릭관동대학교 장학공지,가톨릭관동대학교,https://www.cku.ac.kr/bbs/cku_kr/1202/artclList.do,https://www.cku.ac.kr,1700,ou_1700,confidence=high | 장학공지,empty_observed,empty_observed,0,0,0,error_90
ou_1732_univ_001,감리교신학대학교 장학공지,감리교신학대학교,https://www.mtu.ac.kr/mtu/board/list.do?mId=160,https://www.mtu.ac.kr,1732,ou_1732,confidence=high | 장학/학자금 공지,empty_observed,empty_observed,0,0,0,error_90
ou_1737_univ_001,강남대학교 장학공지,강남대학교,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,https://web.kangnam.ac.kr,1737,ou_1737,confidence=high | 강남광장>공지사항>장학,empty_observed,empty_observed,0,0,0,error_90
ou_1745_univ_001,강서대학교 장학공지,강서대학교,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,https://gangseo.ac.kr,1745,ou_1745,confidence=high | 강서소통광장>장학공지,timeout,attempt_timeout,0,0,0,error_90
ou_1751_univ_001,강원대학교 장학공지,강원대학교,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,https://itcall.kangwon.ac.kr,1751,ou_1751,confidence=high | 대학생활>장학안내>장학 게시판,http_error,http_error,0,0,0,error_90
ou_11_univ_001,건국대학교 장학공지,건국대학교,https://www.konkuk.ac.kr/bbs/konkuk/235/artclList.do,https://www.konkuk.ac.kr,11,ou_11,confidence=high | 장학공지,empty_observed,empty_observed,0,0,0,error_90
ou_1779_univ_001,건국대학교(글로컬) 장학공지,건국대학교(글로컬),https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1750,https://www.kku.ac.kr,1779,ou_1779,confidence=high | 글로컬 장학공지,empty_observed,empty_observed,0,0,0,error_90
ou_1786_univ_001,건양대학교 장학공지,건양대학교,https://www.konyang.ac.kr/cop/bbs/BBSMSTR_000000000585/selectBoardList.do,https://www.konyang.ac.kr,1786,ou_1786,confidence=high | 장학·학자금 공지,empty_observed,empty_observed,0,0,0,error_90
ou_1821_univ_001,경남과학기술대학교 장학공지,경남과학기술대학교,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,https://www.gnu.ac.kr,1821,ou_1821,confidence=low | 2021년 경상국립대 통합; 별도 보드 없음→GNU Today 장학,empty_observed,empty_observed,0,0,0,error_90
ou_1826_univ_001,경남대학교 장학공지,경남대학교,https://www.kyungnam.ac.kr/ko/8460/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGa28lMkYxNDA3JTJGYXJ0Y2xMaXN0LmRvJTNG,https://www.kyungnam.ac.kr,1826,ou_1826,confidence=high | 장학공지,empty_observed,empty_observed,0,0,0,error_90
