source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
snu_001,snu,,,3,university,서울대 학생처 일반공지,https://student.snu.ac.kr/%EC%86%8C%EC%8B%9D%C2%B7%EC%95%8C%EB%A6%BC/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/?category1=%EC%9D%BC%EB%B0%98%EA%B3%B5%EC%A7%80&mod=list,https://student.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,본부 학생처 일반공지 카테고리
snu_002,snu,간호대학,,56,college,서울대 간호대학 공지사항,https://nursing.snu.ac.kr/board/notice,https://nursing.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부; 간호학과를 college 차원에서 통합 관리
snu_003,snu,경영대학,,57,college,서울대 경영대학 공지사항,https://cba.snu.ac.kr/newsroom/notice,https://cba.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부; 경영학과를 college 차원에서 통합 관리
snu_004,snu,공과대학,,58,college,서울대 공과대학 공지사항,https://eng.snu.ac.kr/communication/notice/notice,https://eng.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
snu_005,snu,농업생명과학대학,,59,college,서울대 농업생명과학대학 공지사항,https://cals.snu.ac.kr/board/notice,https://cals.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,일반공지; 장학은 /board/scholarship
snu_006,snu,농업생명과학대학,,59,college,서울대 농업생명과학대학 장학알림,https://cals.snu.ac.kr/board/scholarship,https://cals.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,장학 전용 게시판; 일반공지는 /board/notice 후보
snu_007,snu,미술대학,,60,college,서울대 미술대학 공지사항,https://art.snu.ac.kr/category/college-of-fine-arts/?cate=&catemenu=Notice&type=major,https://art.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
snu_009,snu,사범대학,,61,college,서울대 사범대학 공지사항,https://edu.snu.ac.kr/category/board_17_gn_ldca7if5_20201130072915/,https://edu.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
snu_010,snu,사회과학대학,,54,college,서울대 사회과학대학 공지사항,https://social.snu.ac.kr/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/,https://social.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
snu_012,snu,생활과학대학,,62,college,서울대 생활과학대학 공지사항,https://che.snu.ac.kr/category/board-35-GN-EKIrl47t-20210226142951/,https://che.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,전용 list (메인 대체)
snu_014,snu,수의과대학,,63,college,서울대 수의과대학 공지사항,https://vet.snu.ac.kr/category/board-3-BL-8Piv9u51-20211029154329/,https://vet.snu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부; 수의예과·수의학과를 college 차원에서 통합 관리
