source_id,university_slug,university_id,college_id,department_id,org_unit_id,college_name,department_name,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled
cau_001,cau,9,136,910,719,경영경제대학,경영학부,department,중앙대 경영학부,https://biz.cau.ac.kr/2016/sub06/sub06_01_list.php,https://biz.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_002,cau,9,136,509,720,경영경제대학,경제학부,department,중앙대 경제학부,https://econ.cau.ac.kr/news/notice/,https://econ.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_003,cau,9,136,511,721,경영경제대학,광고홍보학과,department,중앙대 광고홍보학과,https://iadpr.cau.ac.kr/fm/fm_1.php,https://iadpr.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_004,cau,9,136,512,722,경영경제대학,국제물류학과,department,중앙대 국제물류학과,https://log.cau.ac.kr/dm/dm_1.php,https://log.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_006,cau,9,136,513,724,경영경제대학,산업보안학과,department,중앙대 산업보안학과,https://security.cau.ac.kr/board.htm?bbsid=notice,https://security.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_007,cau,9,136,510,725,경영경제대학,응용통계학과,department,중앙대 응용통계학과,https://stat.cau.ac.kr/notice/undergraduate,https://stat.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_008,cau,9,136,514,726,경영경제대학,지식경영학부,department,중앙대 지식경영학부,https://global.cau.ac.kr/kr/notice/notice.php,https://global.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_009,cau,9,138,519,731,공과대학,건설환경플랜트공학전공,department,중앙대 건설환경플랜트공학전공,https://civil.cau.ac.kr/?version=135&spkey=5b3a3e4874f80210e3b655253439c7e702c29894&module=true&PageAccess=main/board&brcode=notice01,https://civil.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_010,cau,9,138,911,732,공과대학,건축학부,department,중앙대 건축학부,http://archicau.com/wordpress/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,http://archicau.com,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_011,cau,9,138,524,733,공과대학,기계공학부,department,중앙대 기계공학부,https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1,https://me.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_013,cau,9,138,912,736,공과대학,에너지시스템공학부,department,중앙대 에너지시스템공학부,http://cauese.co.kr/%EC%BB%A4%EB%AE%A4%EB%8B%88%ED%8B%B0/?term=4,http://cauese.co.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
cau_016,cau,9,138,528,738,공과대학,첨단소재공학과,department,중앙대 첨단소재공학과,http://ame.cau.ac.kr/bbs/board.php?tbl=bbs49,http://ame.cau.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true
